Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
放学后,7.4,https://img1.doubanio.com/view/subject/l/public/s27053007.jpg,https://book.douban.com/subject/24847100/,东野圭吾 , 赵峻 ,南海出版公司 ,2010,28
宿命,7.5,https://img3.doubanio.com/view/subject/l/public/s27306734.jpg,https://book.douban.com/subject/25720029/,东野圭吾 , 张智渊 ,南海出版公司 ,2014,32
假面饭店,7.3,https://img3.doubanio.com/view/subject/l/public/s24225493.jpg,https://book.douban.com/subject/11615172/,东野圭吾 , 中森 ,南海出版公司 ,2013,29.8
东野圭吾的最后致意,7,https://img3.doubanio.com/view/subject/l/public/s28104623.jpg,https://book.douban.com/subject/26390453/,东野圭吾 , 潘璐 ,新星出版社 ,2015,30
梦回都灵,5.5,https://img3.doubanio.com/view/subject/l/public/s6976723.jpg,https://book.douban.com/subject/6785995/,东野圭吾 , 赵秀娟 ,人民文学出版社 ,2011,25
名侦探的守则,7.6,https://img3.doubanio.com/view/subject/l/public/s29237773.jpg,https://book.douban.com/subject/26926528/,东野圭吾 , 岳远坤 ,南海出版公司 ,2017,39.5
布鲁特斯的心脏,7,https://img3.doubanio.com/view/subject/l/public/s27759904.jpg,https://book.douban.com/subject/26103854/,东野圭吾 , 赵仲明 ,南海出版公司 ,2014,35
名侦探的咒缚,6.5,https://img3.doubanio.com/view/subject/l/public/s29945233.jpg,https://book.douban.com/subject/30358478/,东野圭吾 , 岳远坤 ,南海出版公司 ,2018,45
美丽的凶器,6.3,https://img3.doubanio.com/view/subject/l/public/s27753495.jpg,https://book.douban.com/subject/26103819/,东野圭吾 , 花超 ,南海出版公司 ,2014,32
以眨眼干杯,6.6,https://img3.doubanio.com/view/subject/l/public/s29775534.jpg,https://book.douban.com/subject/27163166/,东野圭吾 , 袁斌 ,化学工业出版社 ,2018,39.8
黎明之街,7.3,https://img3.doubanio.com/view/subject/l/public/s28119104.jpg,https://book.douban.com/subject/26273543/,东野圭吾 , 李超楠 ,南海出版公司 ,2015,35
沉睡的森林,7.2,https://img1.doubanio.com/view/subject/l/public/s29980489.jpg,https://book.douban.com/subject/30330292/,东野圭吾 , 郑琳 ,南海出版公司 ,2019,49.5
超杀人事件,7.4,https://img3.doubanio.com/view/subject/l/public/s33316691.jpg,https://book.douban.com/subject/30376544/,东野圭吾 , 计丽屏 ,南海出版公司 ,2019,49.5
